921.92,1644.56,1486.97,240.29
1061.16,1490.48,1179.15,283.59
999.44,1434.58,1128.19,209.56
1052.31,1585.46,1296.34,280.03
915.88,1583.1,1308.81,240.38
1042.94,1386.55,1183.75,218.12
1005.33,1537.69,1456.32,228.56
901.02,1431.33,1477.4,232.47
890.95,1550.72,1481.35,297.36
1188.71,1662.08,1393.69,279.63
1180.21,1692.67,1149.96,278.57
803.94,1685.59,1441.3,213.42
1016.05,1630.61,1266.04,275.75
969.34,1696.61,1258.88,216.56
1139.53,1495.44,1411.41,270.91
1045.49,1682.71,1297.35,263.35
945.03,1604.46,1426.85,204.41
1115.92,1502.27,1333.08,272.11
957.32,1305.08,1249.81,243.15
1074.82,1315.09,1354.83,265.76
963.16,1473.12,1222.56,239.06
911.63,1634.74,1360.36,249.38
1039.03,1390.72,1412.77,249.33
1184.88,1317.89,1432.61,223.32
1143.67,1563.29,1438.71,237.33
843.79,1339.61,1382.32,271.33
1095.74,1381.72,1466.48,251.13
841.4,1318.81,1389.44,278.67
